Entry	Length	Protein families	Keywords
P0C1B6	58	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C1B7	58	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C1B8	58	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C1C8	31	Conotoxin O1 superfamily	Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin
P0C1C9	28	Conotoxin O1 superfamily	Amidation;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Hydroxylation;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin
P0C1D0	32	Conotoxin A superfamily	3D-structure;Acetylcholine receptor inhibiting toxin;Disulfide bond;G-protein coupled receptor impairing toxin;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0C1M1	13	MCD family, Crabrolin subfamily	Amidation;Antibiotic;Antimicrobial;Chemotaxis;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Secreted;Toxin
P0C1M2	13	MCD family, Crabrolin subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Secreted;Toxin
P0C1M3	13	MCD family, Crabrolin subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Secreted;Toxin
P0C1M4	14	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Secreted;Toxin
P0C1M5	13	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Secreted;Toxin
P0C1M8	38	Conotoxin O2 superfamily	Bromination;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Knottin;Neurotoxin;Secreted;Toxin
P0C1M9	17	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Neurotoxin;Secreted;Toxin
P0C1N0	19	Conotoxin M superfamily	Direct protein sequencing;Disulfide bond;Hydroxylation;Neurotoxin;Secreted;Toxin
P0C1N1	67	Conotoxin M superfamily	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Hydroxylation;Neurotoxin;Secreted;Signal;Toxin
P0C1N2	68	Conotoxin M superfamily	Disulfide bond;Hydroxylation;Secreted;Signal;Toxin
P0C1N3	68	Conotoxin M superfamily	Disulfide bond;Hydroxylation;Secreted;Signal;Toxin
P0C1N4	64	Conotoxin M superfamily	Amidation;Disulfide bond;Secreted;Signal;Toxin
P0C1N5	68	Conotoxin M superfamily	Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Neurotoxin;Secreted;Signal;Toxin
P0C1N6	71	Conotoxin M superfamily	Amidation;Bromination;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
P0C1N7	64	Conotoxin M superfamily	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Secreted;Signal;Toxin
P0C1N8	68	Conotoxin M superfamily	Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Neurotoxin;Oxidation;Secreted;Signal;Toxin
P0C1Q5	14	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Secreted;Target cell membrane;Target membrane;Toxin
P0C1Q6	60	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Chemotaxis;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Repeat;Secreted;Signal;Target cell membrane;Target membrane;Toxin
P0C1Q9	15	MCD family, Mastoparan subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Secreted;Toxin
P0C1R1	12	MCD family, Protonectin subfamily	Amidation;Antibiotic;Antimicrobial;Chemotaxis;Direct protein sequencing;Fungicide;G-protein coupled receptor impairing toxin;Immunity;Innate immunity;Mast cell degranulation;Membrane;Repeat;Secreted;Target cell membrane;Target membrane;Toxin
P0C1R2	22	Sylv/frat/paul family	Direct protein sequencing;Disulfide bond;G-protein coupled receptor impairing toxin;Mast cell degranulation;Secreted;Toxin
P0C1R3	42	Neurotoxin 06 (delta-actx) family	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C1R7	17	Conotoxin A superfamily	3D-structure;Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0C1T6	85		Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Knottin;Secreted;Signal;Toxin
P0C1T7	71		Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Knottin;Neurotoxin;Secreted;Signal;Toxin
P0C1T8	41		Direct protein sequencing;Disulfide bond;Secreted;Toxin
P0C1T9	22	Conotoxin M superfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C1U0	25	Conotoxin M superfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Pyrrolidone carboxylic acid;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C1U1	22	Conotoxin M superfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C1U2	22	Conotoxin M superfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Pyrrolidone carboxylic acid;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C1V7	17	Conotoxin A superfamily	3D-structure;Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Sulfation;Toxin
P0C1V8	17	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Sulfation;Toxin
P0C1V9	62	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin
P0C1W0	68	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Sulfation;Toxin
P0C1W1	15	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0C1W2	15	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0C1W3	93	Conotoxin S superfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
P0C1W4	62	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
P0C1W5	92	Conotoxin D superfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
P0C1W6	95	Conotoxin D superfamily	3D-structure;Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Signal;Toxin
P0C1W7	47	Conotoxin D superfamily	Acetylcholine receptor inhibiting toxin;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0C1W8	19	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Amidation;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0C1W9	18	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0C1X0	18	Conotoxin A superfamily	Acetylcholine receptor inhibiting toxin;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Postsynaptic neurotoxin;Secreted;Toxin
P0C1X1	79	Conotoxin A superfamily	Amidation;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Glycoprotein;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0C1X2	86	Venom Kunitz-type family	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Protease inhibitor;Secreted;Serine protease inhibitor;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0C1X3	38	Turripeptide family	Direct protein sequencing;Secreted;Toxin
P0C1X4	85	Turripeptide family	Direct protein sequencing;Secreted;Toxin
P0C1X5	34	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 18 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C1X6	62	Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 18 subfamily	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin
P0C1X7	83	Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Amidation;Antibiotic;Antimicrobial;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated sodium channel impairing toxin
P0C1Y2	62	Conotoxin A superfamily	Amidation;Disulfide bond;Ion channel impairing toxin;Secreted;Signal;Toxin
P0C1Y9	61	Three-finger toxin family, Short-chain subfamily, Acn-esterase inhibitor sub-subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Secreted;Toxin
P0C1Z0	61	Three-finger toxin family, Short-chain subfamily, Acn-esterase inhibitor sub-subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Secreted;Toxin
P0C1Z3	27	Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 2 subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C1Z4	23	Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 2 subfamily	3D-structure;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C201	86	Neurotoxin 10 (Hwtx-1) family	3D-structure;Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Knottin;Secreted;Signal;Toxin
P0C202	65	Neurotoxin 36 family, 02 subfamily	Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Knottin;Secreted;Signal;Toxin
P0C244	35	Neurotoxin 10 (Hwtx-1) family, 62 (Vatx) subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C245	35	Neurotoxin 10 (Hwtx-1) family, 62 (Vatx) subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C246	34	Neurotoxin 10 (Hwtx-1) family, 62 (Vatx) subfamily	Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Secreted;Toxin
P0C247	86	Neurotoxin 10 (Hwtx-1) family, 28 (Jztx-11) subfamily	3D-structure;Amidation;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Knottin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin;Voltage-gated potassium channel impairing toxin;Voltage-gated sodium channel impairing toxin
P0C248	63	O2 superfamily, Contryphan family	Amidation;Bromination;Calcium channel impairing toxin;D-amino acid;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
P0C249	8	O2 superfamily, Contryphan family	3D-structure;Amidation;D-amino acid;Direct protein sequencing;Disulfide bond;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin
P0C250	63	O2 superfamily, Contryphan family	3D-structure;Amidation;Calcium channel impairing toxin;D-amino acid;Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin;Voltage-gated calcium channel impairing toxin
P0C251	73	Conotoxin I1 superfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0C252	39	Conotoxin I2 superfamily	Amidation;Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Toxin;Voltage-gated potassium channel impairing toxin
P0C253	72	Conotoxin I1 superfamily	Cleavage on pair of basic residues;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0C254	70	Conotoxin I2 superfamily	Amidation;Cleavage on pair of basic residues;Disulfide bond;Secreted;Signal;Toxin
P0C255	44	Conotoxin I2 superfamily	Amidation;Cleavage on pair of basic residues;Disulfide bond;Secreted;Toxin
P0C256	44	Conotoxin I1 superfamily	D-amino acid;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C257	46	Conotoxin I1 superfamily	D-amino acid;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C258	70	Conotoxin I2 superfamily	Amidation;Cleavage on pair of basic residues;Disulfide bond;Gamma-carboxyglutamic acid;Hydroxylation;Ion channel impairing toxin;Neurotoxin;Potassium channel impairing toxin;Secreted;Signal;Toxin
P0C259	43	Conotoxin I1 superfamily	D-amino acid;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C260	14		Amidation;D-amino acid;Direct protein sequencing;Neurotoxin;Secreted;Toxin
P0C292	80	Long (3 C-C) scorpion toxin superfamily, Sodium/Potassium channel inhibitor family	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0C293	80	Long (3 C-C) scorpion toxin superfamily, Sodium/Potassium channel inhibitor family	Direct protein sequencing;Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0C294	80	Long (3 C-C) scorpion toxin superfamily, Sodium/Potassium channel inhibitor family	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Signal;Toxin
P0C295	72	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
P0C296	72	Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily	Disulfide bond;Ion channel impairing toxin;Neurotoxin;Secreted;Toxin;Voltage-gated sodium channel impairing toxin
